제목,아이디,댓글 제목,내용,작성일자
아침 고요 수목원,Kat,한국에서 가장 좋아하는 곳입니다,"나는 수년 동안 여기에서 10 번 이상 이곳에 와서 한국에서 여전히 최고의 장소 중 하나로 남아 있습니다. 이 30,000 평방 미터 규모의 산정 원은 자연의 아름다움이 매우 위대합니다. 가평역 또는 청평 역에서 버스를 타면 이용할 수 있습니다. 가평역에서 택시를 타면 약 30,000 원이 소요됩니다. 정원은 사계절 동안 정말 아름답지만 활기찬 색이 공원을 점선으로 표시하는 가을에는 내가 가장 좋아하는 곳입니다. 공원에는 카페와 레스토랑이 있으며 많은 휴식 공간이 있습니다. 정원 입구 바로 앞에는 간식과 현지 음식을 판매합니다. 이 장소를 확인하십시오, 그것은 영혼을위한 편안한 모험으로 당신을 데려 갈 것입니다!",2019년 11월 21
아침 고요 수목원,Sheila G,방문 할 낭만적 인 장소,2019 년 11 월 16 일 가을 시즌 동안이 멋진 정원을 방문하게되어 기쁩니다. 나는 이것이 에덴 동산이라고 생각하고 싶습니다. 당신이 자연 애호가라면 반드시 방문해야합니다.,2019년 11월 18
아침 고요 수목원,yipjcs88,일년 내내 아름다운 정원,나는 서울에 갈 때마다이 정원을 방문했다. 봄에는 꽃이 많이있었습니다. 가을에는 단풍뿐만 아니라 많은 꽃이있었습니다. 그들은 정말로 정원을 좋은 상태로 유지했습니다.,2019년 11월 13
아침 고요 수목원,Voyager1903,나미 섬 쁘띠 프랑스 아침 고요 수목원 방문,"정원은 방문하고 걷는 즐거움이었습니다. 조경과 단풍이 우수합니다. 부드러운 부드러운 음악을 배경으로 아름다운 경내에서 산책과 휴식의 즐거움을 높였습니다. Petite France에서는 부드러운 음악도 배경에서 연주되었습니다. 공원의 일반적인 특징 인 것 같습니다. . . 쁘띠 프랑스는 프랑스에서 영감을 얻은 (이름에서 알 수 있듯이) 건축물, 특히 쁘띠 왕자의 이미지 / 조각상을 가지고 있습니다.은행 나무가 그늘로 바뀌면서 남이섬을 다시 방문하는 것은 좋았습니다 (최근 10 년 전 겨울 방문).나미 아일랜드, 아침 고요 수목원, 쁘띠 프랑스 1 일 투어는 호텔 컨시어지와 함께 확인하십시오.",2019년 11월 11
아침 고요 수목원,Nicholas,완벽한 평온의 정원,"정원은 아름답게 잘 꾸며져 있으며 잘 관리되어 있습니다. 가을이되어서 이미 잎이 돌아가고 떨어지기 시작했습니다. 이 장소는 자연의 평화와 평온을 즐기고, 훌륭한 사진을 원하고 원예의 팬이라면 더 많은 가치가 있습니다.",2019년 11월 5일
아침 고요 수목원,TrudiC44,"눈을 즐겁게하고, 감각을 진정시킵니다.","서울의 정체 후, 이것은 환영받는 휴식입니다. 산책로가 많지만 언덕이 있습니다. 평온과 평화를 분명히 느꼈습니다. 우리는 상당히 일찍 도착했고, 더 많은 사람들이 그날 늦게 도착하는 것을 보았습니다. 느려질 필요가 있다고 느끼면 이곳을 방문하십시오.",2019년 11월 2일
아침 고요 수목원,Sylviegurlie,평화로운 가을 아침,가을에는 아름답고 시원한 날씨로 아름다운 색이 나옵니다. 탐험 할 식물 군의 종류. 갈 곳 4 곳 중 1 곳으로 하루 현지 투어를 갔지만 걸어서 1 시간 밖에 걸리지 않아 서두르는 느낌이 들었습니다. 그 지역을 탐험하기 위해 시간을내어 다시 돌아 갈까,2019년 10월 30
아침 고요 수목원,Grace S,나는 서울 U,웅대! !매우 아름답습니다! ! !당신은 참으로 평온함을 느끼고 자연에 속합니다.한국을 방문해야합니다,2019년 10월 30
아침 고요 수목원,Herbert H,화려한 정원-방문할만한 가치가있는 곳,"나미 섬과 쁘띠 프랑스 투어에 대한 일반적인 반주 인 아침 고요한 정원은 아마도 그러한 투어의 하이라이트 일 것입니다. 빛이 적절한 올바른 시간, 이른 아침 또는 늦은 오후에 방문하면 정원은 조용하고 평화로운 경험입니다. 호주에서는 많은 나무, 관목 및 꽃이 보이지 않습니다. 이 투어의 하이라이트는 라벤더, 자스민, 민트 등과 같은 많은 일반적인 식물을 기반으로 한 많은 흥미로운 스킨 케어 및 기타 제품이있는 Gardenshop입니다.",2019년 10월 14
아침 고요 수목원,clarksl1207,아름다운 정원,이것은 놀라운 정원이었습니다. 매우 퍼져 있습니다. 언덕이 많은 걷기를 계획하십시오. 조용 할 때 방문하고 싶다면 아침에 가장 먼저 오십시오. 제 입장에서는 입장료가 약간 비쌌습니다. 우리가 너무 오래 머물지 않았기 때문에 우리 아이들이 걷는 많은 3 일째 날이었던 것에 따라 아이들은 너무 감동하지 않았습니다.,2019년 10월 14
아침 고요 수목원,Fiona Chan,아름답지만 아마도 올바른 타이밍은 아닙니다.,여름에 이곳을 방문했을 때 정원이 정말 크고 아름다운 식물과 꽃으로 가득 찼다는 데 동의하지만 장소가 더 장관 일 때 즐길 수있는 적절한 계절이 필요합니다 (예 : 봄 시간 또는 크리스마스) 표시합니다.,2019년 10월 10
아침 고요 수목원,richard m,네,"Grea, Great, Great, lovely 한 아름다운 곳, 아름다운 자연 풍경과 평화로운 곳입니다.",2019년 10월 7일
아침 고요 수목원,princessofmorocco,그림 같은,"아름다운 풍경, 아름다운 정원. 정원에서 걷기, 서스펜션 브릿지를 건너 고요한 분위기에서 커피를 마시 며 즐기십시오. 이곳의 아름다움은 매우 차분한 느낌을줍니다. 우리는 도시 주민들에게 스릴을주는 땅콩 수확 기회를 가졌습니다.",2019년 9월 30일
아침 고요 수목원,Albert_LimItBoon,행복한 사람들 정원,수천 개의 꽃 식물과 나무가있는 아름다운 풍경. 일부 향신료는 다른 국가에서 수입됩니다. 원예가 잘 유지됩니다. 시원한 바람이 부는 푸른 물 호수를 건너 섬으로 보트 크루즈.,2019년 9월 25일
아침 고요 수목원,Manolito M,아침 고요 수목원,"이곳은 한국 텔레노벨라의 사격장입니다. 이 지역은 크고 멋진 식물과 나무로 가득합니다. 환상적인 조경, 그것을 보려면 오후 내내 필요합니다. 꼭보아야합니다.",2019년 9월 10일
아침 고요 수목원,Formators4,고요한,자연의 완벽한 정원은 평온을 가져옵니다. 정원을 돌아 다니는 것도 좋은 운동이었습니다.,2019년 9월 4일 
순천만 습지,선화 김,꼭 한번 가보세요,개절별로 다양한 느낌이 있어요. 갈대나 바다나 갯펄을 한번에 볼수가 있구요 사진 찍기도 좋으니 삼각대 가져가세요 또 가고 싶네요,2021년 2월 18일
순천만 습지,seou s,순천만이 제일 예쁠때 갔는데...,용산전망대까지 올라가야 대한민국에서 이 시기에 가장 예쁜 일몰을 볼 수 있다. 올라가면 진짜 진짜 진짜 개이쁜데다리아작날뻔.,2021년 2월 18일
순천만 습지,Turtle Couple,꼭 한번은 가볼만 한 곳,"순천만의 풍경은 우리나라 어디에도, 세계 어디에도 없는 곳인 것 같다. 4계절마다 분위기와 느낌이 다르니 주변을 지나간다면 꼭 가보길 권한다.",2020년 9월 2일 
순천만 습지,KAMOLIDDIN,Wellness Tourism Supporters,웰니스 관광 서포터즈 프로그램을 통해 “순천만습지&순천만국가정원”을 방문해 한국의 자연을 느껴 봤습니다. 먼저 순천만습지에 가서 대한민국에 있는 큰 습지를 볼 수 있었습니다. 여러 데를 산책한 후 “SkyCar”를 타고 순천만국가정원으로 이동했습니다. “Dream Bridge”를 건너가 정원을 구경해 한방 족욕 체험까지 해 봤습니다. 마지막으로 여러 나라 정원들이 있는 곳으로 가서 사진도 많이 찍고 좋은 추억을 만들었습니다. 아주 즐거운 시간이었습니다!,2020년 8월 5일 
순천만 습지,babymaker2017,순천만 뻘사이로 찬란한 갈대밭을 거닐어 보기,"순천만 습지 갈대밭 사이 데크길을 걸어서 용산 전망대까지 천천히 걸어가는 길에 쨍한 햇빛 사이로 갈대밭이 바람에 흔들리는 모습은 정말 장관입니다. 용산 전망대까지 천천히 걸어갔다 오는데 2시간 정도가 소요됩니다.하지만 주차료 3천원과 성인 입장료 8천원은 너무 과하다는 생각이 들지만, 순천만 습지 입장권으로 근처의 국가정원까지 입장이 가능하기 때문에 2곳을 다 이용한다면 괜찮은 가격으로 여겨지지만 습지만 주차료에 입장료를 지불하고 둘러보기에는 택도 없이 비싸다는 느낌에 다시는 오고싶지 않은 장소가 될 수도 있습니다.",2020년 3월 8일 
순천만 습지,davidcP9335BQ,교수연찬회 후 지역답사,보존이 잘된 갈대밭과 그 사이를 걸어갈 수 있는 데크가 길에 연결되어 있습니다. 서두르면 2시간 안에 끝에 있는 전망대까지 갔다올 수 있습니다.,2020년 1월 27일
순천만 습지,봉기 문,방문기,"전라남도 순천의 이곳은 숯너만의 습지와 갈대숲, 장원으로 국가에서 인정한 국가정원입니다. 주변의 꼬막, 짱둥어 등 훌륭한 음식과 더불어  방문을 권합니다.",2019년 12월 3일
순천만 습지,won,매우 만족,데크가 잘 되어있어서 휠체어나 유모차도 다니기 불편하지 않은 것 같아요!가볍게 갈대보면서 산책하기에 좋은 장소입니다,2019년 11월 19
순천만 습지,Zone spirit,정말 아름다운 곳,미세먼지 때문에 여기의 아름다움이 다 드러나지 않는 것같아서 그게 너무 아쉬웠지만그거 감안해도 한국에도 이런 곳이 있구나. 하고 느껴질 정도로 좋은 곳입니다.많이 걸어야하기때문에 그점은 감안하셔야 할 것 같구요.게랑 망둥어들도 갯벌에서 많이보이기 때문에 도시아이들이 가면 많이 신기해 할 듯 합니자,2019년 11월 3일
순천만 습지,민혁 황,순천만 습지,"순천만 연안에 위치한 습지.당일 순천만 국가정원 입장권이 있으면 바로 입장이 가능함.사람이 많긴하지만 넓게 펼쳐진 곳을 천천히 돌아보면 힐링되는 기분.해질녘에 용산전망대에서 바라보면 경관이 좋음.(단, 사람이 너무 많음)용산전망대에 가려면 1km 정도 산길을 걸어야 함.",2019년 10월 5일
순천만 습지,정현진,자연경관이 아름다운 곳,날이 너무 좋아서 사진이 잘 나왔습니다. 아직은 더울깨라 걸어다니기 힘들고 엄마도 힘들어하셔서 국가정원에서 관람차를 탔는데 탁월했습니다. 관람차에서 각 정원마다 설명도 나오고 중간에 내려서 사진찍고 구경하고 순천만습지 갈 수 있습니다. 순천만 습지 보고 다시 관람차 탈 수 있구요. 국가정원 입구 중간에 있는 봉화언덕은 등산 필수입니다. 보기엔 높지만 나선형으로 걸어가니 별로 힘들지도 않고 바람도 많이 불어서 좋습니다. 그리고 사진찍기 너무 좋습니다.,2019년 9월 18일
순천만 습지,happy_wings,여름엔 더워요. 더워,순천만 습지는 워낙좋기로 유명한 곳이지만 여름 한 낮은 피해야할 듯요. 정말 더워요. 그리고 습지라 그런지 습하구요. 가을이나 봄이 딱 좋을 듯...,2019년 8월 4일 
순천만 습지,kej5155,철새들의 휴식처.,이름모를 철새들이 잠시 쉬어가는.머릿속이 복잡할때 비워내고 싶을때 쉬어가기 좋은 곳입니다. 비워내고 또 채울 수 있는 곳이에요.,2019년 7월 3일 
순천만 습지,대성 정,세계적인 습지,세계적인 습지이다 순천만 정원과 스카이 큐브로 연결되어 있어 쉽게 갈 수 있다 볼거리도 있어 순천 오시는 분들은 방문하길 권한다,2019년 6월 7일 
순천만 습지,SHC,탁 트인 경치,순천만 습지는 사실 한국 지리 교과서에 필수로 언급되는 습지라서 많이 들어보기만 하고 처음으로 다녀왔습니다. 도시에서 살기에 탁 트인 시야가 너무 시원한 느낌을 줍니다. 시야에 걸리적거리는 건물 없이 하늘과 땅을 바라볼 수 있어 너무 좋았습니다. 일몰이 너무 예뻐서 그 시간대에 맞춰가는게 좋아요.,2019년 6월 1일 
순천만 습지,2016grace,날씨 좋은 날 나들이,지금 계절이 딱 좋은듯 하다아이와함께 간단한 도시락 지참해서 여유롭게 산책하듯 구경하면 기분이 좋을듯하다날아오는 벚꽃눈과 푸릇푸릇한 잔디다만 주차비가 좀 아쉽다대대동 주민땅인지 잘 모르겠으나 주차비가 비싼듯....입장료 두개 다 내기는 아까운듯하다여기서 팁은 순천국가정원이나 습지 둘중 하나 입장료를 끊으면 둘다 입장 가능하다,2019년 4월 14일
순천만 습지,thinkingbraker,도심에 지친 사람들이 가면 너무나 좋을 곳,계절과 시간을 잘 맞춰가는게 좋다여름에 푸르고 푸른 갈대밭과 쨍하게 파란 하늘 그리고 시원한 바람이 부는건 너무나 좋지만 그늘이 없어서 너무너무 뜨겁고 덥다. (더위조심)가을에는 황금빛 갈대들과 을씨년스러움이 물씬이라 고요함이 느껴지는 것은 좋은데 바람이 불면 너무나도 춥다. (감기조심)일단 낮에는 파란 하늘이 너무 예쁘고 저녁에는 노을이 매일매일 다르게 예쁘다.사진찍기에 더할 나위 없이 좋은 곳.생태계 보존이 잘 되어있어 아이들 학습에도 좋은 곳.연인들이 데이트하기에도 좋은 곳.그냥 좋은 곳.,2019년 3월 27일
순천만 습지,stryuji27,계절에 잘 맞춰가면 더 좋은 습지,정말 넓고 사람도 많은 습지에요. 전망대라고 해서 높은 건물이라도 있는지 알았떠니 그냥 산 높은 곳에 올라서 습지를 내려다 보는거였어요. 가볼만 합니다.,2019년 2월 14일
순천만 습지,coolhshy,완전히 어두워지기 전 노을지는 하늘이 참 아름다운 곳이에요!,"전 이번에 두번째 방문이에요!근데 아쉽게도 이번엔 축제 기간이라 사람이 너무너무 많아서 한걸음 한걸음 사진 한장찍기가 전쟁과도 같았는데요! 3,4 년전쯤 첫 방문할 때 느꼇덧 감정은 정말 그림과도 같은 공간이었어요! 순천이라고 하면 딱 떠오르는 대표적인 관광지이기도 하구요! 개인적으로는 주말보다는 평일에, 사람이 많지 않을 때 가시면 보다 매력을 오롯이 느낄 수 있는 공간이 아닐까 생각합니다!그리고 노을지는 하늘은 꼭 한번 보고 오시길 추천드려요!",2019년 1월 4일 
순천만 습지,cobra_kim,노을이 멋져요,"전망대에서 바라본 순천만 석양은 그림입니다. 갈대와 물줄기 멀리보이는섬, 오리떼까지 한폭의 그림을 보는듯 합니다.가까운 사람끼리, 가족과함께 꼭 추천합니다.",2018년 11월 7일
순천만 습지,메롱빵,내가 원하는 한국의 정서,"고요함, 평평하게 펼쳐진 평야와 시원히 펼쳐진 하늘. 조금 호불호가 있을 수도 있는건 오래 걷는다는 점. 생각보다 많이 걸어야한디. 문학관 티켓을 사면 습지방문은 공짜다.",2018년 10월 26
순천만 습지,민재 성,순천 최고 여행명소,의심할 필요없는 최고의 비경을 자랑합니다. 신선한 공기가 머리를 맑게 해주네요. 노을과 함께면 정말 황홀경을 감상할수 있습니다,2018년 10월 26
순천만 습지,599miria,최고,갈만합니다! 특히 해질무렵에 가서 꼭대기 전망대에서ㅐ 해지는거 보시면 정말 좋을 것 같아요 그리고 생각보다 거리가 꽤 되서 삼꼭대기 전망대까지 왕복 두시간 넘게 걸렸어요,2018년 10월 22
순천만 습지,bonghwa,순천만습지 낙조 포인ㅌ,낙조를 보기위해 전망대로 올라가야 합니다 습지가 매우 멋집니다 산책하기 매우 좋은 장소이므로 시간을 여유있게 다녀오세요,2018년 10월 5일
순천만 습지,happy_wings,순천을 대표하는 최고의 자연학습장,"순천만 국가정원과 함께 같이 다녀왔는데, 낮에는 제법 더웠지만 해질녁에 펼쳐진 광경은 가히 최고의 경관이네요. 자연과 함께 더불어 살수 있다는 것과 아이들에게 정말 좋은 자연의 학습장이 된 것 같아 뿌듯합니다. 순천 최고의 관광지로 적극추천합니다.",2018년 8월 5일 
순천만 습지,윤재 서,정말 꼭 가보셔야되요!!!,"순천만 습지를 다녀왔는데 석양이보이는 시간에 맞춰서 갔습니다!정말 아름다웠고, 갈대밭도 정말 이뻤습니다!! 우리나라에도 이렇게 이쁜곳이 있다는 것을 항상 생각하게 되는 장소입니다!!",2018년 7월 26일
순천만 습지,cute6178,순천만 조아요,너무좋았어요순천만습지 갈대도많고 넘나 가기잘했네요분위기도 좋고 바람도 불어서 산책하기진짜좋았어요 추천합니다,2018년 7월 9일 
순천만 습지,travelnos,꼭 가보세요!!,"생각보다 넓어서 깜짝 놀랐습니다. 전망대에서 보는 풍경은 무슨 외국에 온줄 알았서요. 국내여행에서 꼭 추천할만한 곳입니다. 입구 부터 전망대까지 안쉬고 바로 가도 최소 3~40분은 걸리는것 같습니다. 전망대에서 보는 일몰이 정말 멋지니, 일몰을 보실꺼라면 여유있게 가시길 바랍니다. 그리고 입장권을 끊으면 국가정원도 입장할 수있습니다.",2018년 6월 11일
순천만 습지,jinweono,순천만정원에 다녀오다.,한달 긴 시간동안 미리 선약을 하고 2번째 방문이다. 오늘은 날씨가 흐린 관계로 햇볕이 강하지않아 아주 마음에 드는 좋은 날씨이다. 작년인가 제작년인가 이맘때 방문하다 더워서 애먹었음,2018년 5월 8일 
순천만 습지,alaco3,갈대밭이 장관입니다~,"갯벌에 갈대가 우거져 있으면서 게, 짱뚱어를 볼수 있습니다. 넓은 갈대밭을 산책하면 가슴이 트이는 기분이며, 갯벌의 게를 잡아보면서 아이는 정말 즐거워했습니다.",2018년 5월 6일 
순천만 습지,원희 김,흑두루미떼와 독수리오형제를 보고싶다면,"AI철만 오면 대표적으로 폐쇄되는 곳이지만 그만큼 새들이 많이 모여있는 곳이다. 흑두루미떼와 그 옆에서 한적하게 큰 날개를 펄럭이며 하늘을 나는 독수리 오형제를 볼 수 있는건 놀라운 선물. 용산전망대까지 올라가는 길은 찬찬히 산책할 수 있는 오솔길, 전망대에서는 순천만의 아름다운 곡선과 일몰을 볼 수 있다. 갈대밭 둘레길을 걸어보는 것도 좋고!",2018년 3월 6일 
순천만 습지,J2da,노을이 최고,순천만 생태공원으로 다양한 게들과 다양한 생테개들이 있고 억새풀이 너무 많아서 진자 이쁩니다.,2018년 2월 12일
순천만 습지,원석 강,노을질때가면 최곱니다,노을질때가면 갈다밭이랑 노을이 어우러져 최고의 경관을 선사합니다.날이너무 추울때가지마시고 조금 따뜻할때가세요,2018년 1월 29일
순천만 습지,Kwanghyun A,너무 좋아요,산책코스로도 좋고 볼게 많습니다 갈대숲이 멋있더군요 모노레일 타고 이동하시면 꽤 편하게 다니실 수 있어요,2018년 1월 3일 
순천만 습지,gofl1102,"가을, 최고",매 해 가을마다 꼭 찾는 순천만이에요.매년 가도 매년 좋고 새로운 곳이에요갈대도 억새도 너무 예쁘고 사람이 많고 치여서 다니더라도 기분이 좋은 신기한곳이에요내년에 또 가고싶네요,2017년 12월 11
순천만 습지,in0ky,갈때마다 다른 멋진 풍경,박람회때 가고 최근에 또 방문했습니다편의시설이 많이 늘었네요항상 똑같은 꽃나무가 아니라 갈때마다 다른 모습입니다특히 드넓게 펼쳐진 코스모스가 장관이었어요봄에도 기대되는 곳입니다,2017년 11월 27
순천만 습지,용마사,해질녘....,해질녘에 방문하면 너무나도 아름다운 순천만이에요~~데크도 잘되어있어 걷기 너무 좋아요!!!!,2017년 11월 24
순천만 습지,cece7474,너무 예뻐요,밤에 가서 초파리? 같은 날벌레 때문에 조금 힘들었지만 너무 예쁘고 아이들 있는 가정에서는 생태 체험하기도 너무 좋을거 같아요,2017년 11월 21
순천만 습지,혜란 윤,여유를 가지고  방문,순천의 가장 하이라이트!적어도 두세시간 정도의 여유를 가지고 방문하는 것이 좋을 듯 합니다. 넓게 펼쳐진 갈대와 전망대에서 바라보는 순천만의 모습은 정말 아름답습니다. 시간을 잘 맞춰가시면 일몰과 새떼가 날아가는 모습을 볼 수 있는데 감동적입니다.,2017년 11월 18
순천만 습지,soundwoo,말이 필요 없는 곳,"반드시 방문해야 하는 순천의 생태공원으로 3시간 이상 여유를 가지고 가길 추천한다. 이왕이면 탐사선을 타는 것도 좋고, 용산 전망대까지 무조건 가야한다. 봄, 여럼, 가을, 겨울마다 매력이 다른 곳이다.",2017년 11월 17
순천만 습지,Yujin L,생태공원의 정석!!,순천만 국가공원과 함께 방문하면 좋은 생태공원 특히!!11월 갈대의 향연에 황금들판을 바라보면서 하늘을 날고 있는 새들을 보면  오길 참 잘했구나 느낀다!아이들과 가족들과 가을에는 생태공원 강추!!!,2017년 11월 16
순천만 습지,연희 김,산책삼아서,정원박람회 입장권으로 무료로갔어요언제까지인지 모르지만 입장권가격 세이브되니 좋았어요가을에서 겨울로 가는 시기라 해지는거 바라보니 좋았어요 운치있고 좋네요,2017년 11월 16
순천만 습지,유유민정,넓어요.,정말 넓어요.친정엄마께서 가고 싶어하셔서아이 데리고 갔는데정말 넓어요.더운 날씨엔 비추입니다. 다리 아프고 덥고…,2017년 11월 15
순천만 습지,오스트리아,아이들과 함께 방문하기 최적의 장소,저는 순천 사람으로서 생태공원을 제가 중학생 때 방문 한 적이 있습니다. 그때도 무척 흥미로움을 느끼고 생태에 관해 다시한번 생각해볼 수 있는 인식을 얻었습니다. 그리고 성인이 되어 다시 한번 갔을때 감흥은 새로웠습니다. 이곳은 가족단위로 엄마아빠가 함께 설명해주면서 아이들도 흥미를 느낄수 있게 해줍니다. 현재 환경 전공을 하고 있습니다. 어쩌면 이때의 경험이 저를 이 전공으로 이끈것이 아닐까 종종 생각하곤 합니다.,2017년 11월 7일
순천만 습지,가빈짱,용산전망대에서 보는 일몰,일부러 일몰 보려고 찾아간 곳인데 소문만큼 멋지고 황홀한 일몰이었네요. 일본사람 중국사람 단체로 와서 왁자지껄 거렸지만 또 그만큼 유명한 장소라 생각해요.갈대가 흔들흔들 내마음도 흔들흔들 여유있게 시간 가지고 가세요.,2017년 11월 7일
순천만 습지,Hanbyul J,자연과 하나가 되는 느낌,"봄,여름,가을,겨울 계절마다 다른 매력들이 있다.사계절 어느날에 가도 정말 아름답다.특히 가을 순천만은 최고다. 해질녘 조금은 차가운 바람을 맞으며 갈대들 사이를 지나가고 힘들지만 용산전망대를 올라간다면 왜 이 곳에 와있는지 알게될 것이다.해질녘 갈대밭과 용산전망대의 일몰을 적극 추천한다!",2017년 11월 7일
순천만 습지,new_hippie,아름다운 곳,다리 아픈 줄도 시간 가는 줄도 모르고 걷게 되는 곳. 아름다운 갈대 그리고 전망대에 올라갔을 때 보이는 풍경!,2017년 11월 6일
순천만 습지,bahajia,가을에 꼭 가볼만한 곳,"엄청 넓고 다리가 너무 아팠지만, 갯벌에 사는 동물들과 갈대를 보면서 너무 즐거웠음. 용산전망대는 가는 길이 힘들지만 가볼만한 가치가 있음. 특히 날이 좋은 날엔 꼭 올라가볼것.",2017년 10월 28
순천만 습지,Yejin-jisun L,꼭 가봐야할곳,가족여행중에 순천만정원에갔다가 스카이큐브를 이용해서 방문했습니다. 스카이큐브는 온라인에서 미리 결제해가면 좀 더 저렴하게 이용할 수 있습니다. 다만 최소 전날까진 결제가 이루어져야 다음날부터 사용할 수 있으니 참고하세요. 순천만정원도좋았지만 부모님께선 순천만생태공원을 훨씬 더 마음에 들어하셨습니다. 갈대가 한참인 10월중순에서 10월말을 추천하며 그전에 가더라도 천천히 걷기에 좋습니다. 조금 먼것같아도 끝에 다리부분까지 걸어가면 훨씬 더 아름다운 전경을 사진에 담을 수 있으니 끝까지 걸어가는걸 추천합니다.,2017년 10월 23
순천만 습지,팜므파탈캣,ㅇㅓ떤계절에 가도 아름답다,"정말 최고의 여행지잘 보존된 아름다운 갈대밭, 습지, 꽃게들, 그리고 각자의 자리를 지키고 있는 두루미들이 너무나도 아름다웠다. 스카이큐브를 타면 국가정원도 함께 이용할수있다☆☆",2017년 10월 2일
순천만 습지,ChangHyo S,순천만은 언제가도 좋은곳이에요,순천만은 언제가도 좋은 곳이에요.특히 해가 지기전인 4시 넘어서 가서 전망대에서 보는 순천만은 정말 환상적이에요,2017년 9월 23일
순천만 습지,민지 윤,순천의 대표지 순천만 다만 계절잘보고 가세요,저는 갈대가 없는 5월에 갔더니 푸르른 들판을 보고 왔습니다. 걷는거 좋아시면 정말 좋은곳이며 걷기싫으시면 배투어를 미리 예약하는걸 추천드려요. 한번들어가면 일방향이기때문에 끝까지 걸으셔야하는점 유의하시고 화장실이 안쪽에 있으니 입구에서 꼭 화장실 다녀오세요,2017년 9월 7일 
순천만 습지,Jina J,순천만,말이 필요 없음. 배를 타고 투어를 하는것도 좋고 걸어서 전망대를 둘러보며 위에서의 전경을 즐기기에도 좋음. 게와 짱뚱어를 가까이서 볼 수 있기에 가끔 그 생명들을 괴롶히려는 개념이 없는 여행객들이 많이 보이지만 신고를 해주면 금방 얌전해짐.,2017년 7월 30일
순천만 습지,Miso Lim,정말 좋아하는 곳,"순천만 생태공원을 가고싶어서, 순천을 갑니다!갈대밭이 예쁠 때가면 좋은 것 같아요. 산을 오르면 늪지의 모습을 내려다 볼 수 있는데 노을이 질 때 보면 정말 예쁜 것 같아요!",2017년 6월 16일
순천만 습지,AdrianPitt,여름엔 좀..,더운 여름에 가니 핫볕이! 가을 봄 겨울에 좀 더 좋을거 같음. 철새들 억새가 좋은 풍광을 보여줌. 여유로운 계절에 다시 오고싶음,2017년 6월 13일
순천만 습지,moonhwany,대한민국에도 이런 곳이 있다니!,놀랍다고 자연친화적으로 잘 정돈되었으며 순천만을 아주 가깝게 느끼면서도 자연을 침범하여 죄책감이 들지 않도록 탐방로를 잘 만들어 놓았습니다. 약간 힘이 들지만 왕복 2시간-3시간을 잡고 용산전망대까지 다녀 오시면 순천만 전경을 바라 보실 수 있습니다. 해질녘이 더욱 좋습니다.,2017년 5월 25일
순천만 습지,Songbok Lee,가을 겨울에 좀 더 좋은곳,갈대가 익어서 노랗게 되는 가을이나 겨울이 더 아름다운 곳 입니다.정신없게 걷기보다는 여유가지고 가는게 좋아요해지기 한시간 10분 전 정오에 들어가셔서 슬슬 올라가면아름다운 일몰은 볼 수 있어요,2017년 5월 17일
순천만 습지,원성 장,조류 독감 철이라 아쉬웠네요,전반적인 뷰도 괜찮고 찬찬히 산책하기에 좋습니다아쉽게도 조류독감 때문에 바다 보기와 배타기 제한구역이 꽤 있어서 못본 곳이 많네요파릇한 풀이 올라올때 다시 들러보면 좋을 것 같습니다,2017년 3월 10일
순천만 습지,42bryant,걷기 좋은 곳..,"갈대밭과 순천만의 해지는 풍광을 보기가 좋았고걷기에도 좋습니다. 다만, 거리가 좀 되고 전망대까지는 얕은 등산 수준이니 운동화를 이용하면 좋습니다.",2017년 3월 7일 
순천만 습지,별88,순천만에서의 철새와 조우,"이곳은 다들아시다시피 습지만으로 유명한 곳이다. 겨울에 이곳을 방문하는 겨울철새 흑두루미는 이곳 주민들이 1년 동안 기다렸다가 정성드려 먹이 등을 주며, 이곳 방문을 다시 기약하기도 하는데, 이뿐만 아니라 이지역의 별미인 짱뚱어탕은 이곳에서 미식가들에게 환영받는 음식으로 방문시에는 꼭 이음식을 권하고 싶다.",2017년 1월 30일
순천만 습지,봉기 문,방문기,순천만정원은 전남 순천의 생생한 자연을 습지와 공원으로 조성한 자연친화적인 곳으로 단연 추천합니다.,2017년 1월 21일
순천만 습지,희승 윤,우리나라에 이런 곳이 있었다는 걸 너무 늦게 알았다.,수많은 갈대 늪 사이를 지나 전망대까지 올라가는데 조금 힘이들긴 하지만 끝까지 올라가면 후회할 수 없는 순간이 기다리고 있다.,2016년 12월 30
순천만 습지,jksotot,자연의 공존,겨울이지만  넓고 여러가지디자인된조형물들이많아서 볼꺼리가많네요  저녁엔 일시적으로빛축제를  무료개방해주고있어요  서문에서만요~,2016년 12월 30
순천만 습지,cjm3839,가을의 순천만,주변 경치가 좋아..거닐면서 산책하기 정말 좋은곳입니다. 주변에 맛집도 있고 갈대가 가득한 풍경이 좋았습니다.,2016년 12월 13
순천만 습지,PINKSHOW01,정말 좋았어요,"갈대가 가득한 순천만 공원과 높은 가을하늘, 그리고 아직은 남아있는 단풍잎등 모든 것이 아름다웠던 곳. 주말이라서 사람이 정말 많아서 이동통로가 조금 북적거리고 사진찍기 힘들었지만 그래도 풍경이 워낙 넓직히 탁 트여있어서 답답하지 않았음.",2016년 11월 30
